2013,india
2014,india,Wednesday,January 15Jan 15,Pongal ,"  Also known as Makar Sankranti, Lohri, Bihu, Hadaga, Poki  "
2014,india,Thursday,January 16Jan 16,Uzhavar Tirunal ,"  Puducherry, Tamil Nadu only  "
2014,india,Thursday,January 23Jan 23,  Netaji Subhas Chandra Bose Jayanti  ,"  Assam, Odisha, Tripura, West Bengal only. Birthday of a prominent leader in the Indian freedom movement  "
2014,india,Saturday,January 25Jan 25,Statehood Day ,  Himachal Pradesh only  
2014,india,Sunday,January 26Jan 26,Republic Day  ,   Commemorates the establishment of the Constitution of India  
2014,india,Tuesday,February 04Feb 4,Vasant Panchami ,"  Haryana, Odisha,Tripura, West Bengal only  "
2014,india,Friday,February 14Feb 14,Guru Ravidas Birthday ,"  Haryana, Himachal Pradesh, Punjab only  "
2014,india,Wednesday,February 19Feb 19,  Chhatrapati Shivaji Maharaj Jayanti  ,  Maharashtra only  
2014,india,Thursday,February 27Feb 27,Maha Shivratri  ,
2014,india,Friday,February 28Feb 28,Maha Shivratri  ,  Celebrated on the 13th night/14th day in the Krishna Paksha  
2014,india,Sunday,March 16Mar 16,Doljatra ,"  Holi Dahan. Uttar Pradesh, West Bengal only.  "
2014,india,Monday,March 17Mar 17,Holi  ,
2014,india,Monday,March 31Mar 31,Ugadi ,"  Telugu and Kannada New Year. Karnataka, Maharashtra, Andhra Pradesh, Uttar Pradesh only.  "
2014,india,Monday,March 31Mar 31,  Telugu New Years Day  ,"  Puducherry, Tamil Nadu only  "
2014,india,Saturday,April 05Apr 5,  Babu Jagjivan Ram Birthday  ,  Andhra Pradesh only  
2014,india,Monday,April 07Apr 7,  Public Holiday  ,  Assam only. First phase of Lok Sabha elections   
2014,india,Tuesday,April 08Apr 8,Ram Navami  ,  Celebrates the birth of Lord Rama to King Dasharatha of Ayodhya  
2014,india,Thursday,April 10Apr 10,  Public Holiday  ,  Delhi. Allow voting in Lok Sabha elections  
2014,india,Sunday,April 13Apr 13,Mahavir Jayanti  ,   The most important religious holiday in Jainism  
2014,india,Monday,April 14Apr 14,Dr Ambedkar Jayanti ,  Birthday of Bhimrao Ramji Ambedekar  
2014,india,Monday,April 14Apr 14,Tamil New Year ,  Puthandu. Tamil Nadu only  
2014,india,Tuesday,April 15Apr 15,  Himachal Day  ,  Himachal Pradesh only. The province of Himachal Pradesh was created on 15 April 1948  
2014,india,Tuesday,April 15Apr 15,Bengali New Year ,"  Tripura, West Bengal only  "
2014,india,Thursday,April 17Apr 17,  Public Holiday  ,  Karnataka. Allow voting in Lok Sabha elections  
2014,india,Friday,April 18Apr 18,Good Friday  ,  Friday before Easter Sunday  
2014,india,Thursday,May 01May 1,  Maharashtra Day  ,  Maharashtra only. Commemorates the formation of the state of Maharashtra on 1 May 1960.   
2014,india,Thursday,May 01May 1,May Day ,"  Assam, Bihar, Goa, Jharkhand, Karnataka, Kerala, Manipur, Tamil Nadu, Tripura, West Bengal only  "
2014,india,Thursday,May 01May 1,  Parashurama Jayanti  ,"  Himachal Pradesh, Uttar Pradesh only  "
2014,india,Friday,May 02May 2,  Basava Jayanthi  ,  Karnataka only. The most important festival of the Lingayats.  
2014,india,Friday,May 09May 9,  Birthday of Rabindra Nath Tagore  ,"  Tripura, West Bengal.  A Bengali polymath who reshaped literature and music.  "
2014,india,Tuesday,May 13May 13,  Hazrat Alis Birthday  ,  Uttar Pradesh only. Son in law of Prophet Muhammad  
2014,india,Wednesday,May 14May 14,Buddha Purnima  ,  Birth of Buddha  
2014,india,Saturday,May 31May 31,  Maharana Pratap Jayanti  ,  Himachal Pradesh only  
2014,india,Sunday,June 01Jun 1,  Guru Arjun Dev Martyrdom day  ,  Punjab only.  
2014,india,Friday,June 13Jun 13,  Sant Guru Kabir Jayanti  ,"  Gazetted holiday in Haryana, Himachal Pradesh, Punjab.  "
2014,india,Friday,July 25Jul 25,Jumat-ul-Wida ,  Last Friday of Ramadam  
2014,india,Tuesday,July 29Jul 29,Idul Fitr  ,"  All states except Goa, Jharkhand  "
2014,india,Sunday,August 10Aug 10,Raksha Bandhan ,"  Gujarat, Rajasthan, Uttarakhand, Uttar Pradesh only.  "
